id,trigger,conditions,script,text,options,notes,Column 08
vft_findshipsTalkChoseLove,DialogOptionSelected,$option == vft_type_love,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 0
CallEvent $valkft_eventRef nextStage","The female Admiral suddenly trembled, and it was as if the waves of the Milky Way burst from her eyes. Her face, scarred by the years, was simultaneously flooded with sadness, mourning and grief, and she takes a last deep glance at you before leaving without looking back.",0:cutCommLink:Leave,,
vft_findshipsTalkChoseHate,DialogOptionSelected,$option == vft_type_hate,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 1
CallEvent $valkft_eventRef nextStage","The female Admiral let out a sigh and turned to leave, crestfallen. You never believed in the hypocritical portrayal in novels, but at that moment, you truly felt as if she had aged ten years.",0:cutCommLink:Leave,,
vft_findshipsTalkChoseNormal,DialogOptionSelected,$option == vft_type_normal,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 2
CallEvent $valkft_eventRef nextStage","The prosthetic eye oscillated rapidly, exposing the user's mind to the world, and the female Admiral quickly suppressed her emotions. ""You should get going"", she says, as quietly leaves without a glance back.",0:cutCommLink:Leave,,
,,,,,,,
vft_findHeEncounter,BeginFleetEncounter,"!$talked
$valkft_isHisFleet score:100","unset $entity.ignorePlayerCommRequests
AddText ""I've finally found you, $personName. The man who made the Admiral so emotional."" $faction.baseColor
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
$talked = true
CallEvent $valkft_eventRef succeed
OpenComms",,,,
vft_findHeGreeting0,OpenCommLink,$valkft_isHe score:100,"$entity.ignorePlayerCommRequests = true
$vft_fhc = 1
","Unexpectedly, you receive a comms request form him, and when you answer it, you were surprised to find him talking to himself, as if he understood why you had come.

""You're the one she sent, aren't you? This day has come not a moment too late.""

The leader of the Wanderers looks at you through drooping eyelids, looking a bit downtrodden, and more like a roadside beggar than a Fleet Admiral.

""Years of journeying through the void have taken their toll on a ship that used to carry the hopes and passions of the revolutionaries. We tried to build our own utopia, but we lost all our fuel money on the New World, and the damned Alliance traders manipulated the fragile colonial economy, creating famine and squeezing every last cent out of the people.""

""By the time I realized that destroying the trade fleet made it impossible for us to gain a foothold on Alliance worlds, it was too late. The fleet sailed outward, always outward. Across the long outer channel of the Atlantean Nebula to the haunts of the outlaws, the creepy fringes of the world, we've been through mergers, infighting, frauds, partings, and more than once, right up to this very moment.

Yet she still holds a grudge against us? You seem to know something about the shady side of the Valkyries, and I wouldn't mind telling you more about it before we fight.""","0:vft_he_continue:""Didn't both of you love each other once? How did it come to this? """,,
vft_findHeGreeting1,DialogOptionSelected,"$option == vft_he_continue
$vft_fhc == 1",$vft_fhc = 2,"""Somehow, communication stalled, and both sides silently asserted their justice with their actions... On the eve of the big battle, my followers and I stowed our old carbines and electromagnetic rifles in supply crates and carried them to the battleship. We couldn't miss this opportunity, when the dreaded interstellar powers were under too much pressure to act, to get the the end of the Valkyrie's projection of power!  It was our only way out...""","0:vft_he_continue:""There is no denying that this is a great struggle.""",,
vft_findHeGreeting2,DialogOptionSelected,"$option == vft_he_continue
$vft_fhc == 2",$vft_fhc = 3,"""We took control of a sub-fleet in a blitz. The revolutionaries boarded the Yoshura prototype without being detected, killing the guards, whose impulse deflector fields were overwhelmed by our firepower, and the fall of this battleship was movement's crowning achievement.""

""The outpost was the last target, and as our heavily armed mob ransacked it, we broke away from the organization and became denizens of the silent void. Based on the skeleton of the captured battleship, and the secrets of the outpost, I built this war machine, and decided to defend my meaning of life to the end with iron and blood!  ""

With determination in his eyes, he raised his right hand to cut off comms.","0:vft_he_continue:""If I may ask one last question, what do you think of her now?""",,
vft_findHeLove,DialogOptionSelected,"$option == vft_he_continue
$valkft_type == 0
$vft_fhc == 3",,"""No matter how time passes, she is the only one for me."" There is silence on both sides. For a moment, he looks at you, the stars in his eyes seeming eternal, and resolutely disconnects the comm link, the message from him ending abruptly, signaling the end of a story and the coming of a battle.",cutCommLink:Cut the comm link,,
vft_findHeHate,DialogOptionSelected,"$option == vft_he_continue
$valkft_type == 1
$vft_fhc == 3",,"""I loath her."" The comms fall silent, and the flagship shakes violently. You look over the bridge, where someone is shouting ""We are under attack! We are under attack! """,cutCommLink:Cut the comm link,,
vft_findHeNormal,DialogOptionSelected,"$option == vft_he_continue
$valkft_type == 2
$vft_fhc == 3",,"""From the moment we abandoned the organization, we had nothing more to do with each other."" There comes a buzz, and the comms falls dead.",cutCommLink:Cut the comm link,,
,,,,,,,
