name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Antiproton Laser Cannon,valk_antiproton_laser,2,,3000,800,,200,,100,12,20,12,2,4,ENERGY,180,,0,0.13333,1,,0,5,1,5,,900,,,100,,,,"energy12,beam10,valk_enigma_bp",,Valkyrian Enigma Corporation,,General,,,,,,,,,,
MW-Heavy Antiproton Spear,valk_imbc,3,0.5,8000,900,2000,,,,5,24,,,,ENERGY,,2000,0.25,0.5,1,6.575,,,,,10000,,,,,,,,"energy15,beam15,valk_enigma_bp",,Valkyrian Enigma Corporation,,Anti Armor,,,,,,,,,,
GE-Geironul Giant Cannon,valk_geironul,0,,4000,800,,600,,200,5,18,,,,HIGH_EXPLOSIVE,600,,0,2,1,,0,8,4,8,,525,,,400,,,,"he18, valk_enigma_bp",,Valkyrian Enigma Corporation,,Anti Armor,,,,,"On hits to hull or armor, an explosion will occur that does %s %s damage，after a delay of %s second(s).",200 | High Explosive | 1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion MRM,valk_scorpion,1,,400,2500,,500,,15,30,5,4,,,ENERGY,0,,0,2,1,,0,0,0,,,425,100,12.5,400,,,"DO_NOT_AIM, USE_VS_FRIGATES, GROUP_LINKED, STRIKE","missile10,valk_enigma_bp",,Valkyrian Enigma Corporation,,General,Medium,Medium,,,"Hits on hull or armor have a {%s} chance to arc to weapon and engines, dealing extra damage equal to the original hit.",25%,,,TRUE,
Scorpion MRM Pod,valk_scorpionpod,1,,1200,2500,,500,,15,10,10,16,,,ENERGY,0,,0,11,2,1,0,0,0,,,425,100,12.5,400,,,"DO_NOT_AIM, USE_VS_FRIGATES, GROUP_LINKED, STRIKE","missile10,valk_enigma_bp",,Valkyrian Enigma Corporation,,General,Medium,Medium,,,"Hits on hull or armor have a {%s} chance to arc to weapon and engines, dealing extra damage equal to the original hit.",25%,,,TRUE,
Wraith Heavy Missile,valk_wraith,2,,1200,2500,,800,,15,20,5,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,375,75,12.5,250,,,DO_NOT_AIM,"missile12,stike3,valk_enigma_bp",,Valkyrian Enigma Corporation,,Finisher,Medium,Medium,,,,,,,TRUE,
Spectre Cruise Missile,valk_spectre,1,,1500,6000,,1200,,100,8,8,3,0.0333,,KINETIC,0,,0,10,1,,0,0,0,0,,200,50,30,500,,,"DO_NOT_AIM, DO_NOT_CONSERVE, GUIDED_POOR","utility13, missile10,valk_enigma_bp",,Valkyrian Enigma Corporation,,Long Range Support,Slow,Very Poor,,,"%s :
Missiles with [%s] capability map and explore areas they pass through, increasing the maximum speed of our ships in those areas by up to %s.",Cruise Mapping | Cruise Mapping | 20%,,,,
Phantasm Cruise Missile,valk_phantasm,2,,1500,6000,,1500,,100,8,8,3,0.0333,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,200,50,30,500,,,"DO_NOT_AIM, DO_NOT_CONSERVE, GUIDED_POOR","utility13, missile10,valk_enigma_bp",,Valkyrian Enigma Corporation,,Long Range Support,Slow,Very Poor,,,"%s :
Missiles with [%s] capability map and explore areas they pass through, increasing the maximum speed of our ships in those areas by up to %s.",Cruise Mapping | Cruise Mapping | 20%,,,,
Shadow Twin Cruise Missile,valk_shadow,2,,1500,4000,,1000,,150,10,10,20,,,HIGH_EXPLOSIVE,0,,0,9.5,2,0.5,0,0,0,0,,300,50,20,400,,,"DO_NOT_AIM, GUIDED_POOR","utility13, missile10,valk_enigma_bp",,Valkyrian Enigma Corporation,,Long Range Support,Slow,Very Poor,,,"%s :
Missiles with [%s] capability map and explore areas they pass through, increasing the maximum speed of our ships in those areas by up to %s.",Cruise Mapping | Cruise Mapping | 20%,,,,
Sunfury HE-AD Torpedo,valk_sunfury,2,0.5,3000,1500,,6000,,500,10,12,3,0.005555,,HIGH_EXPLOSIVE,0,,0,20,1,,0,0,0,0,,550,75,5,750,,,STRIKE,"strike14, rocket9,valk_enigma_bp",,Valkyrian Enigma Corporation,,Torpedo,Medium,None,,,%s,Large explosion radius.,,,TRUE,
#Ship-based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wraith Triple Missile (Fighter),valk_wraith_fighter,,,,1250,,750,,100,,,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,375,75,4,150,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, GUIDED_POOR",,,Valkyrian Enigma Corporation,,Strike,,,,,,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
#Built-in weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockatrice Eye,valk_cockatrice,1,,,400,,15,,2.5,50,,,,,FRAGMENTATION,5,,,0.08,1,0.01,1,5,0.4,5,,1000,,,20,,,"SYSTEM,SHOW_IN_CODEX",,,Valkyrian Enigma Corporation,,General,,,,,,,,,,
Heavy Siege Cannon,valk_heavy_assault_cannon,2,,,1000,,400,,100,7.5,,,,,HIGH_EXPLOSIVE,400,,0,2.5,1,,0,5,1,10,,850,,,75,,,"SYSTEM,SHOW_IN_CODEX",,,Valkyrian Enigma Corporation,,General,,,,,,,,,,
Redemption Repeater Cannon,valk_ilc,1,,,800,,400,,100,10,,,,,ENERGY,320,,0,5,3,0.5,0,2.5,1,5,,1000,,,300,,,"SYSTEM,SHOW_IN_CODEX",,,Valkyrian Enigma Corporation,,General,,,,,,,,,,
Redemption Shockwave,valk_ilc_II,2,,,900,,2000,,600,10,,,,,ENERGY,2200,,1.5,8.5,1,0.5,0,2.5,1,5,,1000,,,1000,,,"SYSTEM,SHOW_IN_CODEX",,,Valkyrian Enigma Corporation,,General,,,,,,,,,,
Hyper Beam Cannon,valk_hyperbeam,2,,,800,1800,,,0,0,,,,,ENERGY,,2400,0,0.75,0.75,6,,,,,10000,,,,,,,"CONSERVE_1,SYSTEM,SHOW_IN_CODEX",,,Valkyrian Enigma Corporation,,General,,,,,,,,,,
IR Burst Driver,valk_irdriver,1,,,450,,30,,0,50,,,,,ENERGY,25,,0.2,0,,,,,,,,1000,,,,,,"SYSTEM,SHOW_IN_CODEX",,,Valkyrian Enigma Corporation,,General,,,,,,,,,,
Legion Tactical Plasma Launcher,valk_ballista,2,,,4500,,250,,50,10,,80,,,ENERGY,,,0,5,,,0,0,0,0,,200,100,25,150,,,"DO_NOT_AIM,SYSTEM,SHOW_IN_CODEX",,,Valkyrian Enigma Corporation,,Long Range Support,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, # Decorative Weapons
Jenova Radar Array,valk_jenova_radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Jenova Right Door,valk_jenova_doorR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Jenova Left Door,valk_jenova_doorL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Jenova ECM Power Supply Circuit,valk_jenova_ECM_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Blinker - Short,valk_blinker_short,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Blinker - Long,valk_blinker_long,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Flight Deck Sequence,valk_blinker_deck_sequence,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Jenova Array Thermal Radiation,valk_jenova_ECM_heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Redemption Blaster Left Charge Bar,valk_ilc_ii_charge_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Redemption Blaster Right Charge Bar,valk_ilc_ii_charge_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
